fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Kaue Fernandes,Marc Diakiese,0,0,67 of 92,65 of 92,23 of 42,13 of 32,6 of 20,11 of 26,8 of 13,2 of 5,9 of 9,0 of 1,21 of 38,7 of 18,2 of 4,2 of 4,0 of 0,4 of 10,1 of 1,3 of 8,0,0,0,1,1:27,8:38,L,Decision - Split,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/3c69bed42893da75
Islam Makhachev,Alexander Volkanovski,1,0,39 of 46,11 of 18,24 of 29,4 of 6,13 of 16,0 of 1,9 of 11,1 of 1,2 of 2,3 of 4,7 of 11,3 of 5,8 of 9,1 of 1,9 of 9,0 of 0,0 of 1,0 of 0,0,0,0,0,0:19,0:49,W,KO/TKO,1,3:06,Marc Goddard,http://ufcstats.com/fight-details/0ea435ddf02deb60
Kamaru Usman,Khamzat Chimaev,0,0,58 of 92,107 of 143,36 of 66,38 of 70,27 of 52,27 of 53,6 of 10,3 of 9,3 of 4,8 of 8,33 of 63,22 of 53,1 of 1,0 of 0,2 of 2,16 of 17,0 of 1,4 of 12,0,1,0,0,0:04,7:16,L,Decision - Majority,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/f23e9729b2b73c27
Magomed Ankalaev,Johnny Walker,0,0,16 of 23,17 of 30,13 of 19,14 of 27,7 of 13,4 of 15,3 of 3,1 of 2,3 of 3,9 of 10,7 of 11,14 of 27,1 of 1,0 of 0,5 of 7,0 of 0,1 of 1,0 of 0,0,0,0,0,1:06,0:00,NC,Could Not Continue,1,3:13,Daniel Movahedi,http://ufcstats.com/fight-details/821960adf5bfa15c
Ikram Aliskerov,Warlley Alves,1,0,26 of 36,12 of 16,26 of 36,12 of 16,20 of 29,3 of 6,6 of 6,1 of 1,0 of 1,8 of 9,26 of 36,12 of 16,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,W,KO/TKO,1,2:07,Lukasz Bosacki,http://ufcstats.com/fight-details/7024385b5107bd4b
Said Nurmagomedov,Muin Gafurov,0,0,5 of 11,1 of 3,5 of 11,1 of 3,2 of 7,0 of 2,2 of 2,0 of 0,1 of 2,1 of 1,5 of 11,1 of 3,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,1,0,0,0,0:03,0:07,W,Submission,1,1:13,Marc Goddard,http://ufcstats.com/fight-details/ed3334d108b257a6
Tim Elliott,Muhammad Mokaev,0,0,71 of 87,118 of 146,30 of 43,14 of 33,19 of 30,8 of 21,10 of 12,3 of 8,1 of 1,3 of 4,14 of 27,10 of 29,8 of 8,1 of 1,8 of 8,3 of 3,1 of 1,3 of 6,2,1,0,0,2:23,8:24,L,Submission,3,3:03,Jason Herzog,http://ufcstats.com/fight-details/e9256316716499b8
Mohammad Yahya,Trevor Peek,0,0,47 of 96,83 of 123,43 of 92,61 of 97,28 of 70,32 of 61,14 of 21,16 of 23,1 of 1,13 of 13,41 of 90,50 of 83,2 of 2,6 of 9,0 of 0,5 of 5,1 of 1,4 of 7,1,0,0,0,0:24,5:10,L,Decision - Unanimous,3,5:00,Daniel Movahedi,http://ufcstats.com/fight-details/3c6fb6bf9b7afd40
Javid Basharat,Victor Henry,0,0,33 of 46,30 of 41,30 of 43,25 of 36,8 of 21,3 of 10,8 of 8,6 of 6,14 of 14,16 of 20,26 of 39,23 of 34,4 of 4,2 of 2,0 of 0,0 of 0,1 of 4,0 of 1,0,0,0,0,0:29,0:14,NC,Could Not Continue,2,0:15,Lukasz Bosacki,http://ufcstats.com/fight-details/0d1af8c6a5793185
Abu Azaitar,Sedriques Dumas,0,0,87 of 153,72 of 117,41 of 106,34 of 79,21 of 78,11 of 45,13 of 18,5 of 11,7 of 10,18 of 23,31 of 90,31 of 76,3 of 6,0 of 0,7 of 10,3 of 3,2 of 4,1 of 2,0,0,0,0,0:32,4:10,L,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/43de9ff6064361e1
